Author,Author Birth,Author Death,Author Given,Author Surname,Copyright Status,Language,LoC Class,Num,Subject,Title,charset,gd-num-padded,gd-path,href,Number of Authors,Number of Genres,is_english_fiction,original_path,tokenized_path,cw_df_path,Author Birth Century
['Herman Melville'],[1819],[1891],['Herman'],['Melville'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],15,"['Whales -- Fiction', 'Sea stories', 'Allegories', 'Ahab, Captain (Fictitious character) -- Fiction', 'Adventure stories', 'Whaling -- Fiction']",['Moby Dick'],utf-8,15,000/00015.txt,/etext91/moby.zip,1,6,True,../data/gutenberg-dammit-files/000/00015.txt,../data/gutenberg-dammit-files/000/00015_tagged.pickle,../data/gutenberg-dammit-files/000/00015_cw_df.pickle,1800
['J. M. (James Matthew) Barrie'],[1860],[1937],['J. M. (James Matthew)'],['Barrie'],['Copyrighted work. See license inside work.'],['English'],"['PZ: Language and Literatures: Juvenile belles lettres', 'PR: Language and Literatures: English literature']",16,"['Pirates -- Juvenile fiction', 'Fairies -- Juvenile fiction', 'Never-Never Land (Imaginary place) -- Fiction', 'Fantasy', 'Peter Pan (Fictitious character) -- Fiction', ""Children's literature""]",['Peter Pan'],us-ascii,16,000/00016.txt,/1/16/16.zip,1,6,True,../data/gutenberg-dammit-files/000/00016.txt,../data/gutenberg-dammit-files/000/00016_tagged.pickle,../data/gutenberg-dammit-files/000/00016_cw_df.pickle,1800
['Willa Sibert Cather'],[1873],[1947],['Willa Sibert'],['Cather'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],24,"['Swedish Americans -- Fiction', 'Brothers and sisters -- Fiction', 'Women immigrants -- Fiction', 'Women pioneers -- Fiction', 'Nebraska -- Fiction', 'Historical fiction', 'Frontier and pioneer life -- Nebraska -- Fiction', 'Women farmers -- Fiction', 'Farm life -- Fiction', 'Domestic fiction']",['O Pioneers!'],us-ascii,24,000/00024.txt,/2/24/24.zip,1,10,True,../data/gutenberg-dammit-files/000/00024.txt,../data/gutenberg-dammit-files/000/00024_tagged.pickle,../data/gutenberg-dammit-files/000/00024_cw_df.pickle,1800
['Thomas Hardy'],[1840],[1928],['Thomas'],['Hardy'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],27,"['Didactic fiction', 'Pastoral fiction', 'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Wessex (England) -- Fiction', 'Women farmers -- Fiction', 'Farm life -- Fiction']",['Far from the Madding Crowd'],utf-8,27,000/00027.txt,/etext92/crowd13.zip,1,7,True,../data/gutenberg-dammit-files/000/00027.txt,../data/gutenberg-dammit-files/000/00027_tagged.pickle,../data/gutenberg-dammit-files/000/00027_cw_df.pickle,1800
['Charlotte Perkins Gilman'],[1860],[1935],['Charlotte Perkins'],['Gilman'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],32,"['Black humor', 'Utopian fiction', 'Utopias -- Fiction', 'Women -- Fiction']",['Herland'],us-ascii,32,000/00032.txt,/3/32/32.zip,1,4,True,../data/gutenberg-dammit-files/000/00032.txt,../data/gutenberg-dammit-files/000/00032_tagged.pickle,../data/gutenberg-dammit-files/000/00032_cw_df.pickle,1800
['Nathaniel Hawthorne'],[1804],[1864],['Nathaniel'],['Hawthorne'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],33,"['Historical fiction', 'Psychological fiction', 'Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Clergy -- Fiction', 'Revenge -- Fiction', 'Puritans -- Fiction', 'Married women -- Fiction', 'Women immigrants -- Fiction', 'Illegitimate children -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Adultery -- Fiction']",['The Scarlet Letter'],us-ascii,33,000/00033.txt,/etext92/scrlt13.zip,1,11,True,../data/gutenberg-dammit-files/000/00033.txt,../data/gutenberg-dammit-files/000/00033_tagged.pickle,../data/gutenberg-dammit-files/000/00033_cw_df.pickle,1800
['H. G. (Herbert George) Wells'],[1866],[1946],['H. G. (Herbert George)'],['Wells'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],35,"['Dystopias -- Fiction', 'Science fiction', 'Time travel -- Fiction']",['The Time Machine'],us-ascii,35,000/00035.txt,/3/35/35.zip,1,3,True,../data/gutenberg-dammit-files/000/00035.txt,../data/gutenberg-dammit-files/000/00035_tagged.pickle,../data/gutenberg-dammit-files/000/00035_cw_df.pickle,1800
['H. G. (Herbert George) Wells'],[1866],[1946],['H. G. (Herbert George)'],['Wells'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],36,"['Imaginary wars and battles -- Fiction', 'War stories', 'Space warfare -- Fiction', 'Mars (Planet) -- Fiction', 'Martians -- Fiction', 'Science fiction']",['The War of the Worlds'],us-ascii,36,000/00036.txt,/3/36/36.zip,1,6,True,../data/gutenberg-dammit-files/000/00036.txt,../data/gutenberg-dammit-files/000/00036_tagged.pickle,../data/gutenberg-dammit-files/000/00036_cw_df.pickle,1800
['Washington Irving'],[1783],[1859],['Washington'],['Irving'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],41,"['New York (State) -- Fiction', 'Ghosts -- Fiction']",['The Legend of Sleepy Hollow'],iso-8859-1,41,000/00041.txt,/4/41/41_8.zip,1,2,True,../data/gutenberg-dammit-files/000/00041.txt,../data/gutenberg-dammit-files/000/00041_tagged.pickle,../data/gutenberg-dammit-files/000/00041_cw_df.pickle,1700
['Robert Louis Stevenson'],[1850],[1894],['Robert Louis'],['Stevenson'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],42,"['Multiple personality -- Fiction', 'Self-experimentation in medicine -- Fiction', 'Physicians -- Fiction', 'London (England) -- Fiction', 'Psychological fiction', 'Horror tales', 'Science fiction']",['The Strange Case of Dr. Jekyll and Mr. Hyde'],us-ascii,42,000/00042.txt,/etext92/hyde10.zip,1,7,True,../data/gutenberg-dammit-files/000/00042.txt,../data/gutenberg-dammit-files/000/00042_tagged.pickle,../data/gutenberg-dammit-files/000/00042_cw_df.pickle,1800
['Robert Louis Stevenson'],[1850],[1894],['Robert Louis'],['Stevenson'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],43,"['Multiple personality -- Fiction', 'Self-experimentation in medicine -- Fiction', 'Psychological fiction', 'Physicians -- Fiction', 'London (England) -- Fiction', 'Horror tales', 'Science fiction']",['The Strange Case of Dr. Jekyll and Mr. Hyde'],us-ascii,43,000/00043.txt,/4/43/43.zip,1,7,True,../data/gutenberg-dammit-files/000/00043.txt,../data/gutenberg-dammit-files/000/00043_tagged.pickle,../data/gutenberg-dammit-files/000/00043_cw_df.pickle,1800
['Willa Sibert Cather'],[1873],[1947],['Willa Sibert'],['Cather'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],44,"['Women singers -- Fiction', 'Children of clergy -- Fiction', 'Swedish Americans -- Fiction', 'Young women -- Fiction', 'Opera -- Fiction', 'Chicago (Ill.) -- Fiction', 'Colorado -- Fiction', 'Musical fiction', 'Bildungsromans']",['The Song of the Lark'],us-ascii,44,000/00044.txt,/4/44/44.zip,1,9,True,../data/gutenberg-dammit-files/000/00044.txt,../data/gutenberg-dammit-files/000/00044_tagged.pickle,../data/gutenberg-dammit-files/000/00044_cw_df.pickle,1800
['L. M. (Lucy Maud) Montgomery'],[1874],[1942],['L. M. (Lucy Maud)'],['Montgomery'],['Not copyrighted in the United States.'],['English'],['PZ: Language and Literatures: Juvenile belles lettres'],45,"['Canada -- History -- 1867-1914 -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Country life -- Prince Edward Island -- Fiction', 'Islands -- Fiction', 'Friendship -- Fiction', 'Orphans -- Fiction']",['Anne of Green Gables'],us-ascii,45,000/00045.txt,/4/45/45.zip,1,6,True,../data/gutenberg-dammit-files/000/00045.txt,../data/gutenberg-dammit-files/000/00045_tagged.pickle,../data/gutenberg-dammit-files/000/00045_cw_df.pickle,1800
['Charles Dickens'],[1812],[1870],['Charles'],['Dickens'],['Not copyrighted in the United States.'],['English'],"['PZ: Language and Literatures: Juvenile belles lettres', 'PR: Language and Literatures: English literature']",46,"['Scrooge, Ebenezer (Fictitious character) -- Fiction', 'Poor families -- Fiction', 'Sick children -- Fiction', 'Misers -- Fiction', 'London (England) -- Fiction', 'Christmas stories', 'Ghost stories']",['A Christmas Carol'],iso-8859-1,46,000/00046.txt,/4/46/46_8.zip,1,7,True,../data/gutenberg-dammit-files/000/00046.txt,../data/gutenberg-dammit-files/000/00046_tagged.pickle,../data/gutenberg-dammit-files/000/00046_cw_df.pickle,1800
