word,sense_name,word_pos
starer,sight,"('starer', 'VERB')"
glances,sight,"('glances', 'VERB')"
ogled,sight,"('ogled', 'VERB')"
saw,sight,"('saw', 'VERB')"
sawyer,sight,"('sawyer', 'NOUN')"
glance,sight,"('glance', 'NOUN')"
visualize,sight,"('visualize', 'VERB')"
understandability,sight,"('understandability', 'NOUN')"
determiner,sight,"('determiner', 'PROPN')"
examiner,sight,"('examiner', 'NOUN')"
examined,sight,"('examined', 'VERB')"
glimpsing,sight,"('glimpsing', 'VERB')"
star,sight,"('star', 'NOUN')"
seeings,sight,"('seeings', 'NOUN')"
visits,sight,"('visits', 'NOUN')"
visualizing,sight,"('visualizing', 'VERB')"
glanced,sight,"('glanced', 'VERB')"
gloat,sight,"('gloat', 'NOUN')"
examining,sight,"('examining', 'VERB')"
interpretive,sight,"('interpretive', 'ADJ')"
behold,sight,"('behold', 'VERB')"
interpretings,sight,"('interpretings', 'NOUN')"
interpreters,sight,"('interpreters', 'NOUN')"
ogles,sight,"('ogles', 'X')"
examination,sight,"('examination', 'NOUN')"
gloatings,sight,"('gloatings', 'NOUN')"
admires,sight,"('admires', 'NOUN')"
stare,sight,"('stare', 'NOUN')"
understandingly,sight,"('understandingly', 'ADV')"
leering,sight,"('leering', 'VERB')"
interpretation,sight,"('interpretation', 'NOUN')"
see,sight,"('see', 'VERB')"
understandabilities,sight,"('understandabilities', 'NOUN')"
determiners,sight,"('determiners', 'NOUN')"
staring,sight,"('staring', 'VERB')"
leers,sight,"('leers', 'NOUN')"
watch,sight,"('watch', 'VERB')"
witnessers,sight,"('witnessers', 'NOUN')"
interpreting,sight,"('interpreting', 'VERB')"
visit,sight,"('visit', 'NOUN')"
seen,sight,"('seen', 'VERB')"
watches,sight,"('watches', 'NOUN')"
determined,sight,"('determined', 'VERB')"
peeps,sight,"('peeps', 'NOUN')"
visited,sight,"('visited', 'VERB')"
peeper,sight,"('peeper', 'NOUN')"
sawyers,sight,"('sawyers', 'NOUN')"
squinting,sight,"('squinting', 'VERB')"
meet,sight,"('meet', 'VERB')"
sawed,sight,"('sawed', 'VERB')"
meets,sight,"('meets', 'VERB')"
interprets,sight,"('interprets', 'VERB')"
peer,sight,"('peer', 'VERB')"
peeping,sight,"('peeping', 'VERB')"
experience,sight,"('experience', 'NOUN')"
saws,sight,"('saws', 'NOUN')"
witnessed,sight,"('witnessed', 'VERB')"
